Team,Group,Confed,Qual Matches,Qual Goals Scored,Qual Goals Conceded,Qual GD,Qual G/MP,Qual GA/MP,Tournament Score,Podium Bonus,FIFA Rank,Star Rating,GK Form,Rating (0-100)
Spain,H,UEFA,8,24,3,21,3,0.38,10,4,2,5,3,100.0
France,I,UEFA,6,18,4,14,3,0.67,8,7,1,5,3,99.71
England,L,UEFA,8,22,0,22,2.75,0,8,3,4,5,2,93.44
Portugal,K,UEFA,8,28,6,22,3.5,0.75,8,3,5,5,2,85.73
Netherlands,F,UEFA,8,26,5,21,3.25,0.63,8,3,7,4,2,74.79
Germany,E,UEFA,6,22,4,18,3.67,0.67,7,3,10,4.5,3,78.24
Belgium,G,UEFA,6,23,4,19,3.83,0.67,6,0,9,4,3,63.98
Croatia,L,UEFA,8,19,5,14,2.38,0.63,5,3,11,4,2,64.52
Switzerland,B,UEFA,6,14,5,9,2.33,0.83,7,0,18,3,2,41.57
Austria,J,UEFA,6,17,6,11,2.83,1,6,0,22,3,2,36.68
Turkey,D,UEFA,8,16,7,9,2,0.88,7,0,20,3,2,39.96
Norway,F,UEFA,8,37,5,32,4.63,0.63,3,0,28,2.5,2,34.27
Scotland,A,UEFA,8,18,7,11,2.25,0.88,5,0,34,3,2,29.25
Bosnia and Herzegovina,B,UEFA,6,11,8,3,1.83,1.33,2,0,43,2.5,1,3.02
Sweden,K,UEFA,8,14,9,5,1.75,1.13,2,0,31,3.5,1,23.05
Czechia,A,UEFA,8,16,8,8,2,1,5,0,33,3,1,24.35
Morocco,C,CAF,10,22,5,17,2.2,0.5,6,4,8,4,3,76.27
Senegal,I,CAF,10,21,6,15,2.1,0.6,5,0,13,3.5,2,50.63
Egypt,G,CAF,10,18,7,11,1.8,0.7,5,0,26,3.5,2,40.78
Algeria,H,CAF,10,19,6,13,1.9,0.6,4,0,25,3,2,36.01
Tunisia,F,CAF,10,16,8,8,1.6,0.8,3,0,35,3,2,24.75
Côte d'Ivoire,E,CAF,10,20,8,12,2,0.8,4,3,30,3,2,39.04
Ghana,G,CAF,10,17,9,8,1.7,0.9,1,0,45,2.5,2,9.3
South Africa,A,CAF,10,16,10,6,1.6,1,2,1,40,3,1,17.02
DR Congo,H,CAF,12,21,9,12,1.75,0.75,2,0,36,2.5,2,19.14
Cape Verde,J,CAF,10,18,7,11,1.8,0.7,0,0,44,2,2,5.87
Japan,F,AFC,18,42,12,30,2.33,0.67,3,0,17,3.5,2,49.91
Iran,G,AFC,18,35,11,24,1.94,0.61,4,1,19,3.5,2,51.53
South Korea,A,AFC,18,38,14,24,2.11,0.78,4,1,23,4,2,52.93
Australia,D,AFC,18,28,16,12,1.56,0.89,3,0,24,3.5,2,36.94
Saudi Arabia,H,AFC,18,30,14,16,1.67,0.78,2,0,41,3,2,22.84
Qatar,B,AFC,18,22,18,4,1.22,1,5,1,38,3.5,2,31.15
Uzbekistan,K,AFC,18,31,12,19,1.72,0.67,3,0,37,3,2,29.08
Jordan,J,AFC,21,28,16,12,1.33,0.76,5,2,42,3,2,31.68
Iraq,I,AFC,21,32,15,17,1.52,0.71,3,0,39,3,2,26.8
Argentina,J,CONMEBOL,18,35,12,23,1.94,0.67,6,7,3,4.5,3,93.21
Brazil,C,CONMEBOL,18,28,17,11,1.56,0.94,5,2,6,5,3,74.26
Uruguay,H,CONMEBOL,18,27,18,9,1.5,1,5,2,16,4,2,53.53
Colombia,K,CONMEBOL,18,31,14,17,1.72,0.78,6,0,12,4,2,57.3
Ecuador,E,CONMEBOL,18,24,17,7,1.33,0.94,4,3,21,3.5,2,46.16
Paraguay,D,CONMEBOL,18,19,20,-1,1.06,1.11,3,0,32,3,1,16.87
United States,D,CONCACAF,6,10,3,7,1.67,0.5,3,2,15,3.5,2,49.26
Mexico,A,CONCACAF,6,13,6,7,2.17,1,3,3,14,3.5,1,44.61
Canada,B,CONCACAF,4,10,2,8,2.5,0.5,5,2,27,3,2,41.12
Panama,D,CONCACAF,12,18,5,13,1.5,0.42,4,2,29,3.5,2,46.17
Haiti,C,CONCACAF,12,14,9,5,1.17,0.75,1,0,47,2,1,1.0
Curaçao,E,CONCACAF,12,11,8,3,0.92,0.67,2,0,46,2.5,1,7.62
New Zealand,G,OFC,10,18,9,9,1.8,0.9,3,1,48,3,2,19.53
